
  ╭──────────────────────────────────────────────────────────╮
  │  ⚠️  VNSTOCK DEPRECATION NOTICE (31/08/2025)             │
  │                                                          │
  │  Lớp Vnstock và các phương thức cũ (stock, fx, crypto,   │
  │  world_index, fund...) đã chính thức bị ngừng hỗ trợ.    │
  │                                                          │
  │  Để hệ thống ổn định và nhận được cập nhật mới nhất,     │
  │  vui lòng chuyển sang dùng bộ thư viện `vnstock.api`.    │
  │                                                          │
  │  👉 Xem hướng dẫn Migration: /vnstock-migration          │
  ╰──────────────────────────────────────────────────────────╯

Mẫu code chuyển đổi (Migration Example):
--------------------------------------
Cũ (Old):  stock = Vnstock().stock('ACB')
Mới (New): from vnstock.api.quote import Quote
          q = Quote(symbol='ACB', source='VCI')

==================================================
      VNSTOCK 4.x OPTIMIZED ANALYZER
      Danh sách: FPT
      Khung: 1D, Số lượng: 2000
==================================================

==================================================
      PHÂN TÍCH MÃ: FPT  
      Khung thời gian: 1D
==================================================
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃                                                                                 ┃
┃  ⚠️ THÔNG BÁO QUAN TRỌNG                                                        ┃
┃                                                                                 ┃
┃  Phát hành vnstock 4.0.1 cung cấp sửa lỗi quan trọng và bổ sung giao diện API   ┃
┃  thống nhất (Unified UI), tăng tính ổn định của code.                           ┃
┃  Cập nhật: pip install vnstock -U                                               ┃
┃  AI Agent Guide: https://github.com/vnstock-hq/vnstock-agent-guide/             ┃
┃                                                                                 ┃
┃  ────────────────────────────────────────────────────────────────────────────── ┃
┃                                                                                 ┃
┃  🚀 VNSTOCK INSIDERS PROGRAM - NÂNG TẦM TRẢI NGHIỆM CỦA BẠN! 🚀                 ┃
┃                                                                                 ┃
┃  Nếu bạn cảm thấy khó chịu với các thông báo và quảng cáo:                      ┃
┃                                                                                 ┃
┃  ✨ Ẩn toàn bộ thông báo và quảng cáo phiền hà                                  ┃
┃  🔓 Mở rộng khả năng sử dụng API tối đa                                         ┃
┃  ⚡ Tăng tốc tải dữ liệu từ 5-8 lần                                              ┃
┃  📈 Tăng giới hạn truy cập API lên đến 5 lần                                    ┃
┃  🤖 Dùng AI Agent viết code hiệu quả với tài liệu Agent Guide                    ┃
┃                                                                                 ┃
┃  🔗 Tham gia ngay: https://vnstocks.com/insiders-program#tiers                  ┃
┃                                                                                 ┃
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛

--- [ LỊCH SỬ GIÁ FPT  ] ---
            time   open   high    low  close  change  pct_change    volume
0     2018-06-06  14.63  14.78  14.41  14.78    0.21        1.44   1017540
1     2018-06-07  14.90  14.90  14.54  14.57   -0.21       -1.42   1138280
2     2018-06-08  14.60  14.69  14.48  14.61    0.04        0.27   1050890
3     2018-06-11  14.55  14.61  14.48  14.48   -0.13       -0.89    721890
4     2018-06-12  14.48  14.48  13.93  14.11   -0.37       -2.56   1257200
5     2018-06-13  14.02  14.29  14.02  14.26    0.15        1.06    452120
6     2018-06-14  14.32  14.40  14.20  14.20   -0.06       -0.42    460360
7     2018-06-15  14.11  14.23  14.09  14.17   -0.03       -0.21    442100
8     2018-06-18  14.29  14.29  13.84  13.84   -0.33       -2.33    693660
9     2018-06-19  13.74  13.74  13.01  13.56   -0.28       -2.02   2015520
10    2018-06-20  13.68  13.84  13.41  13.84    0.28        2.06    650560
11    2018-06-21  13.84  13.84  13.44  13.53   -0.31       -2.24    349770
12    2018-06-22  13.50  13.71  13.38  13.71    0.18        1.33    375270
13    2018-06-25  13.84  13.84  13.68  13.74    0.03        0.22    511540
14    2018-06-26  13.56  13.65  13.50  13.56   -0.18       -1.31    240850
15    2018-06-27  13.68  13.68  13.48  13.50   -0.06       -0.44    256990
16    2018-06-28  13.50  13.50  12.95  12.95   -0.55       -4.07   1175250
17    2018-06-29  12.95  13.10  12.65  12.65   -0.30       -2.32    759780
18    2018-07-02  12.65  12.77  12.19  12.25   -0.40       -3.16    979030
19    2018-07-03  12.25  12.39  11.88  11.88   -0.37       -3.02   1351030
20    2018-07-04  11.90  12.19  11.73  12.19    0.31        2.61    980200
21    2018-07-05  12.19  12.22  11.73  12.04   -0.15       -1.23    711240
22    2018-07-06  11.88  12.71  11.85  12.43    0.39        3.24    913260
23    2018-07-09  12.49  12.60  12.13  12.24   -0.19       -1.53    583920
24    2018-07-10  12.28  12.40  12.19  12.31    0.07        0.57    249100
25    2018-07-11  12.04  12.19  11.76  11.94   -0.37       -3.01    801770
26    2018-07-12  11.76  12.08  11.73  11.82   -0.12       -1.01    684480
27    2018-07-13  12.04  12.43  11.98  12.37    0.55        4.65   1060620
28    2018-07-16  12.52  12.65  12.39  12.46    0.09        0.73    645230
29    2018-07-17  12.40  12.77  12.36  12.77    0.31        2.49   1297460
30    2018-07-18  12.80  13.07  12.77  13.07    0.30        2.35   1096080
31    2018-07-19  12.86  13.07  12.86  12.95   -0.12       -0.92    753150
32    2018-07-20  12.89  12.89  12.57  12.68   -0.27       -2.08    851350
33    2018-07-23  12.86  13.01  12.75  12.80    0.12        0.95   1111700
34    2018-07-24  12.80  12.94  12.62  12.86    0.06        0.47   1167460
35    2018-07-25  12.89  13.35  12.86  12.92    0.06        0.47   1326030
