
  ╭──────────────────────────────────────────────────────────╮
  │  ⚠️  VNSTOCK DEPRECATION NOTICE (31/08/2025)             │
  │                                                          │
  │  Lớp Vnstock và các phương thức cũ (stock, fx, crypto,   │
  │  world_index, fund...) đã chính thức bị ngừng hỗ trợ.    │
  │                                                          │
  │  Để hệ thống ổn định và nhận được cập nhật mới nhất,     │
  │  vui lòng chuyển sang dùng bộ thư viện `vnstock.api`.    │
  │                                                          │
  │  👉 Xem hướng dẫn Migration: /vnstock-migration          │
  ╰──────────────────────────────────────────────────────────╯

Mẫu code chuyển đổi (Migration Example):
--------------------------------------
Cũ (Old):  stock = Vnstock().stock('ACB')
Mới (New): from vnstock.api.quote import Quote
          q = Quote(symbol='ACB', source='VCI')

==================================================
      VNSTOCK 4.x OPTIMIZED ANALYZER
      Danh sách: GOLD
      Khung: 1D, Số lượng: 200
==================================================

==================================================
      PHÂN TÍCH MÃ: GOLD (Gold / USD (TradingView)) 
      Khung thời gian: 1D
==================================================

--- [ LỊCH SỬ GIÁ GOLD  ] ---
           time symbol     open     high      low    close  change  pct_change       volume
0    2025-08-22   GOLD 3,340.14 3,378.84 3,321.45 3,371.23   32.52        0.97   304,253.00
1    2025-08-25   GOLD 3,368.72 3,376.38 3,359.78 3,365.72   -5.51       -0.16   152,373.00
2    2025-08-26   GOLD 3,366.61 3,393.74 3,351.33 3,393.74   28.03        0.83   356,620.00
3    2025-08-27   GOLD 3,390.75 3,398.79 3,373.75 3,397.72    3.97        0.12   298,600.00
4    2025-08-28   GOLD 3,398.41 3,423.18 3,384.62 3,417.06   19.34        0.57   383,940.00
5    2025-08-29   GOLD 3,417.03 3,453.97 3,404.32 3,447.43   30.38        0.89   486,335.00
6    2025-09-01   GOLD 3,445.43 3,489.84 3,437.03 3,476.36   28.93        0.84   390,865.00
7    2025-09-02   GOLD 3,475.91 3,540.06 3,470.05 3,533.55   57.18        1.64   707,070.00
8    2025-09-03   GOLD 3,532.72 3,578.66 3,526.54 3,559.26   25.72        0.73   608,467.00
9    2025-09-04   GOLD 3,560.26 3,564.16 3,511.76 3,545.87  -13.39       -0.38   548,957.00
10   2025-09-05   GOLD 3,545.40 3,600.20 3,540.01 3,586.55   40.68        1.15   717,777.00
11   2025-09-08   GOLD 3,591.61 3,646.55 3,579.72 3,635.85   49.30        1.37   605,523.00
12   2025-09-09   GOLD 3,636.15 3,674.70 3,626.03 3,626.32   -9.53       -0.26   653,882.00
13   2025-09-10   GOLD 3,627.45 3,657.61 3,620.14 3,640.59   14.27        0.39   493,414.00
14   2025-09-11   GOLD 3,644.47 3,649.34 3,612.84 3,634.12   -6.47       -0.18   485,145.00
15   2025-09-12   GOLD 3,635.90 3,656.70 3,630.62 3,643.09    8.97        0.25   411,073.00
16   2025-09-15   GOLD 3,644.57 3,685.70 3,626.46 3,678.79   35.70        0.98   490,753.00
17   2025-09-16   GOLD 3,680.14 3,703.24 3,674.70 3,689.86   11.07        0.30   476,961.00
18   2025-09-17   GOLD 3,691.34 3,707.55 3,646.12 3,659.97  -29.88       -0.81   619,729.00
19   2025-09-18   GOLD 3,659.62 3,673.20 3,627.96 3,644.18  -15.80       -0.43   569,752.00
20   2025-09-19   GOLD 3,642.92 3,685.74 3,632.38 3,684.97   40.80        1.12   490,300.00
21   2025-09-22   GOLD 3,687.77 3,748.86 3,683.55 3,746.36   61.38        1.67   504,786.00
22   2025-09-23   GOLD 3,747.12 3,791.26 3,736.66 3,764.20   17.85        0.48   570,300.00
23   2025-09-24   GOLD 3,765.31 3,779.34 3,717.52 3,736.16  -28.04       -0.74   388,341.00
24   2025-09-25   GOLD 3,739.61 3,761.69 3,722.22 3,749.44   13.28        0.36   466,427.00
25   2025-09-26   GOLD 3,747.24 3,783.89 3,734.44 3,759.86   10.41        0.28   407,811.00
26   2025-09-29   GOLD 3,764.74 3,834.30 3,763.45 3,833.88   74.03        1.97   555,525.00
27   2025-09-30   GOLD 3,832.57 3,871.89 3,793.18 3,858.45   24.57        0.64   538,261.00
28   2025-10-01   GOLD 3,860.08 3,895.50 3,853.38 3,865.53    7.08        0.18   508,789.00
29   2025-10-02   GOLD 3,864.41 3,897.13 3,819.43 3,856.56   -8.97       -0.23   537,737.00
30   2025-10-03   GOLD 3,857.14 3,891.76 3,838.07 3,886.45   29.89        0.78   486,579.00
31   2025-10-06   GOLD 3,891.34 3,970.20 3,884.11 3,960.69   74.24        1.91   631,381.00
32   2025-10-07   GOLD 3,960.62 3,991.14 3,941.05 3,984.33   23.64        0.60   643,666.00
33   2025-10-08   GOLD 3,986.28 4,059.35 3,984.32 4,041.90   57.57        1.44   613,615.00
34   2025-10-09   GOLD 4,036.78 4,058.11 3,944.43 3,976.24  -65.66       -1.62   931,973.00
35   2025-10-10   GOLD 3,977.26 4,023.00 3,947.02 4,016.68   40.44        1.02   957,145.00
36   2025-10-13   GOLD 4,017.62 4,117.42 3,998.15 4,110.34   93.66        2.33   727,281.00
37   2025-10-14   GOLD 4,112.47 4,179.94 4,090.14 4,142.62   32.29        0.79   920,993.00
38   2025-10-15   GOLD 4,140.76 4,218.40 4,140.73 4,207.77   65.15        1.57   689,245.00
39   2025-10-16   GOLD 4,212.56 4,330.90 4,199.97 4,326.06  118.29        2.81   780,709.00
