
  ╭──────────────────────────────────────────────────────────╮
  │  ⚠️  VNSTOCK DEPRECATION NOTICE (31/08/2025)             │
  │                                                          │
  │  Lớp Vnstock và các phương thức cũ (stock, fx, crypto,   │
  │  world_index, fund...) đã chính thức bị ngừng hỗ trợ.    │
  │                                                          │
  │  Để hệ thống ổn định và nhận được cập nhật mới nhất,     │
  │  vui lòng chuyển sang dùng bộ thư viện `vnstock.api`.    │
  │                                                          │
  │  👉 Xem hướng dẫn Migration: /vnstock-migration          │
  ╰──────────────────────────────────────────────────────────╯

Mẫu code chuyển đổi (Migration Example):
--------------------------------------
Cũ (Old):  stock = Vnstock().stock('ACB')
Mới (New): from vnstock.api.quote import Quote
          q = Quote(symbol='ACB', source='VCI')

==================================================
      VNSTOCK 4.x OPTIMIZED ANALYZER
      Danh sách: HPG
      Khung: 1D, Số lượng: 2000
==================================================

==================================================
      PHÂN TÍCH MÃ: HPG  
      Khung thời gian: 1D
==================================================
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃                                                                                 ┃
┃  ⚠️ THÔNG BÁO QUAN TRỌNG                                                        ┃
┃                                                                                 ┃
┃  Phát hành vnstock 4.0.1 cung cấp sửa lỗi quan trọng và bổ sung giao diện API   ┃
┃  thống nhất (Unified UI), tăng tính ổn định của code.                           ┃
┃  Cập nhật: pip install vnstock -U                                               ┃
┃  AI Agent Guide: https://github.com/vnstock-hq/vnstock-agent-guide/             ┃
┃                                                                                 ┃
┃  ────────────────────────────────────────────────────────────────────────────── ┃
┃                                                                                 ┃
┃  🚀 VNSTOCK INSIDERS PROGRAM - NÂNG TẦM TRẢI NGHIỆM CỦA BẠN! 🚀                 ┃
┃                                                                                 ┃
┃  Nếu bạn cảm thấy khó chịu với các thông báo và quảng cáo:                      ┃
┃                                                                                 ┃
┃  ✨ Ẩn toàn bộ thông báo và quảng cáo phiền hà                                  ┃
┃  🔓 Mở rộng khả năng sử dụng API tối đa                                         ┃
┃  ⚡ Tăng tốc tải dữ liệu từ 5-8 lần                                              ┃
┃  📈 Tăng giới hạn truy cập API lên đến 5 lần                                    ┃
┃  🤖 Dùng AI Agent viết code hiệu quả với tài liệu Agent Guide                    ┃
┃                                                                                 ┃
┃  🔗 Tham gia ngay: https://vnstocks.com/insiders-program#tiers                  ┃
┃                                                                                 ┃
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛

--- [ LỊCH SỬ GIÁ HPG  ] ---
            time  open  high   low  close  change  pct_change     volume
0     2018-06-06 10.02 10.32  9.90  10.28    0.30        3.01    6063330
1     2018-06-07 10.32 10.56 10.28  10.47    0.19        1.85    5446810
2     2018-06-08 10.49 10.49 10.35  10.37   -0.10       -0.96    3600330
3     2018-06-11 10.32 10.44 10.23  10.25   -0.12       -1.16    8041000
4     2018-06-12 10.49 10.49  9.87  10.06   -0.19       -1.85   10591380
5     2018-06-13 10.04 10.32 10.02  10.28    0.22        2.19    3666430
6     2018-06-14 10.37 10.52 10.07  10.09   -0.19       -1.85    6574380
7     2018-06-15 10.06 10.18  9.90  10.18    0.09        0.89    4820810
8     2018-06-18 10.11 10.11  9.52   9.52   -0.66       -6.48    7388100
9     2018-06-19  9.19  9.35  8.88   9.08   -0.44       -4.62   13163240
10    2018-06-20  9.23  9.47  8.95   9.47    0.39        4.30    5767930
11    2018-06-21  9.46  9.46  9.23   9.29   -0.18       -1.90    3879280
12    2018-06-22  9.23  9.70  9.19   9.70    0.41        4.41    7178290
13    2018-06-25  9.94  9.98  9.72   9.82    0.12        1.24    3464240
14    2018-06-26  9.61  9.74  9.47   9.73   -0.09       -0.92    2672780
15    2018-06-27  9.68  9.74  9.35   9.35   -0.38       -3.91    3374170
16    2018-06-28  9.19  9.42  9.14   9.20   -0.15       -1.60    4260340
17    2018-06-29  9.19  9.28  8.98   9.09   -0.11       -1.20    5171070
18    2018-07-02  9.00  9.12  8.76   9.09    0.00        0.00    6223040
19    2018-07-03  9.09  9.19  8.59   8.59   -0.50       -5.50    5823250
20    2018-07-04  8.71  8.87  8.57   8.78    0.19        2.21    3769000
21    2018-07-05  8.78  8.88  8.48   8.55   -0.23       -2.62    4246120
22    2018-07-06  8.54  8.95  8.33   8.71    0.16        1.87    5279160
23    2018-07-09  8.88  8.88  8.38   8.45   -0.26       -2.99    3847250
24    2018-07-10  8.40  8.55  8.40   8.40   -0.05       -0.59    3023470
25    2018-07-11  8.26  8.38  8.00   8.14   -0.26       -3.10    7028880
26    2018-07-12  7.88  8.09  7.86   7.99   -0.15       -1.84    3327390
27    2018-07-13  8.10  8.44  8.06   8.43    0.44        5.51    4729750
28    2018-07-16  8.55  8.58  8.37   8.40   -0.03       -0.36    3329260
29    2018-07-17  8.29  8.56  8.29   8.55    0.15        1.79    3378710
30    2018-07-18  8.59  8.84  8.55   8.81    0.26        3.04    6330670
31    2018-07-19  8.87  8.94  8.78   8.81    0.00        0.00    3514150
32    2018-07-20  8.71  8.76  8.58   8.69   -0.12       -1.36    4976130
33    2018-07-23  8.78  8.90  8.66   8.75    0.06        0.69    5595420
34    2018-07-24  8.74  8.75  8.31   8.38   -0.37       -4.23   12245700
