
  ╭──────────────────────────────────────────────────────────╮
  │  ⚠️  VNSTOCK DEPRECATION NOTICE (31/08/2025)             │
  │                                                          │
  │  Lớp Vnstock và các phương thức cũ (stock, fx, crypto,   │
  │  world_index, fund...) đã chính thức bị ngừng hỗ trợ.    │
  │                                                          │
  │  Để hệ thống ổn định và nhận được cập nhật mới nhất,     │
  │  vui lòng chuyển sang dùng bộ thư viện `vnstock.api`.    │
  │                                                          │
  │  👉 Xem hướng dẫn Migration: /vnstock-migration          │
  ╰──────────────────────────────────────────────────────────╯

Mẫu code chuyển đổi (Migration Example):
--------------------------------------
Cũ (Old):  stock = Vnstock().stock('ACB')
Mới (New): from vnstock.api.quote import Quote
          q = Quote(symbol='ACB', source='VCI')

==================================================
      VNSTOCK 4.x OPTIMIZED ANALYZER
      Danh sách: MSN
      Khung: 1D, Số lượng: 2000
==================================================

==================================================
      PHÂN TÍCH MÃ: MSN  
      Khung thời gian: 1D
==================================================
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃                                                                                 ┃
┃  ⚠️ THÔNG BÁO QUAN TRỌNG                                                        ┃
┃                                                                                 ┃
┃  Phát hành vnstock 4.0.1 cung cấp sửa lỗi quan trọng và bổ sung giao diện API   ┃
┃  thống nhất (Unified UI), tăng tính ổn định của code.                           ┃
┃  Cập nhật: pip install vnstock -U                                               ┃
┃  AI Agent Guide: https://github.com/vnstock-hq/vnstock-agent-guide/             ┃
┃                                                                                 ┃
┃  ────────────────────────────────────────────────────────────────────────────── ┃
┃                                                                                 ┃
┃  🚀 VNSTOCK INSIDERS PROGRAM - NÂNG TẦM TRẢI NGHIỆM CỦA BẠN! 🚀                 ┃
┃                                                                                 ┃
┃  Nếu bạn cảm thấy khó chịu với các thông báo và quảng cáo:                      ┃
┃                                                                                 ┃
┃  ✨ Ẩn toàn bộ thông báo và quảng cáo phiền hà                                  ┃
┃  🔓 Mở rộng khả năng sử dụng API tối đa                                         ┃
┃  ⚡ Tăng tốc tải dữ liệu từ 5-8 lần                                              ┃
┃  📈 Tăng giới hạn truy cập API lên đến 5 lần                                    ┃
┃  🤖 Dùng AI Agent viết code hiệu quả với tài liệu Agent Guide                    ┃
┃                                                                                 ┃
┃  🔗 Tham gia ngay: https://vnstocks.com/insiders-program#tiers                  ┃
┃                                                                                 ┃
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛

--- [ LỊCH SỬ GIÁ MSN  ] ---
            time   open   high    low  close  change  pct_change    volume
0     2018-06-06  69.19  69.27  68.46  69.27    0.08        0.12   1170840
1     2018-06-07  70.00  72.43  69.67  70.73    1.46        2.11   1148300
2     2018-06-08  70.73  71.13  69.35  69.67   -1.06       -1.50    672840
3     2018-06-11  69.67  70.24  68.86  68.86   -0.81       -1.16    881240
4     2018-06-12  68.05  68.05  64.41  66.76   -2.10       -3.05   1388340
5     2018-06-13  67.24  67.73  66.76  67.65    0.89        1.33    665420
6     2018-06-14  68.46  69.11  67.32  68.46    0.81        1.20    754200
7     2018-06-15  67.97  68.86  67.32  68.86    0.40        0.58   1125470
8     2018-06-18  68.05  68.86  66.03  68.05   -0.81       -1.18    825840
9     2018-06-19  66.43  66.43  64.00  64.81   -3.24       -4.76   1502690
10    2018-06-20  64.81  66.35  63.19  65.62    0.81        1.25    986430
11    2018-06-21  65.62  65.95  64.57  65.62    0.00        0.00    609310
12    2018-06-22  65.62  65.62  64.08  65.62    0.00        0.00    606920
13    2018-06-25  67.65  67.65  66.03  67.24    1.62        2.47    458160
14    2018-06-26  66.84  66.84  65.54  66.84   -0.40       -0.59    258540
15    2018-06-27  66.84  67.24  64.81  65.62   -1.22       -1.83    418190
16    2018-06-28  64.81  65.54  62.38  64.00   -1.62       -2.47    810880
17    2018-06-29  62.54  64.41  62.54  64.00    0.00        0.00    683730
18    2018-07-02  62.71  63.92  59.55  61.57   -2.43       -3.80   1503790
19    2018-07-03  61.57  61.98  58.41  59.95   -1.62       -2.63   1224710
20    2018-07-04  59.14  60.44  57.52  60.03    0.08        0.13    967410
21    2018-07-05  59.30  60.03  58.17  59.87   -0.16       -0.27   1268230
22    2018-07-06  58.17  60.03  57.60  59.95    0.08        0.13   1494750
23    2018-07-09  59.95  61.57  59.22  60.11    0.16        0.27    414980
24    2018-07-10  59.95  60.68  59.87  60.11    0.00        0.00    495930
25    2018-07-11  59.95  60.11  58.82  59.95   -0.16       -0.27    962210
26    2018-07-12  58.90  59.95  58.82  59.95    0.00        0.00    521530
27    2018-07-13  59.95  61.08  59.55  60.68    0.73        1.22    453210
28    2018-07-16  60.36  60.92  59.87  60.11   -0.57       -0.94   1011680
29    2018-07-17  59.38  60.36  59.38  60.36    0.25        0.42    549360
30    2018-07-18  60.36  62.38  60.11  61.57    1.21        2.00   1230190
31    2018-07-19  62.38  65.22  62.22  64.08    2.51        4.08    761010
32    2018-07-20  64.49  64.81  63.27  64.08    0.00        0.00    766990
33    2018-07-23  64.00  65.78  63.68  64.08    0.00        0.00   1161850
34    2018-07-24  64.08  65.78  63.35  65.22    1.14        1.78   1009400
35    2018-07-25  65.22  68.05  64.73  65.62    0.40        0.61    935280
36    2018-07-26  66.35  66.51  64.81  65.62    0.00        0.00    433810
37    2018-07-27  65.46  66.03  64.73  65.86    0.24        0.37    525860
38    2018-07-30  66.27  66.27  64.81  65.95    0.09        0.14    515970
39    2018-07-31  65.62  68.54  65.62  68.21    2.26        3.43    910850
40    2018-08-01  68.46  68.46  67.00  68.21    0.00        0.00    299790
41    2018-08-02  68.21  68.70  67.57  68.21    0.00        0.00    491440
42    2018-08-03  68.94  69.02  68.21  68.86    0.65        0.95    478550
43    2018-08-06  68.86  71.62  68.46  70.81    1.95        2.83    636030
44    2018-08-07  70.81  73.40  70.48  72.91    2.10        2.97    675440
45    2018-08-08  72.91  72.91  71.70  72.91    0.00        0.00    405530
46    2018-08-09  72.91  73.64  72.02  72.83   -0.08       -0.11    333290
47    2018-08-10  71.86  72.51  71.13  72.10   -0.73       -1.00    886180
48    2018-08-13  71.54  74.37  71.21  73.64    1.54        2.14    744800
49    2018-08-14  73.64  75.75  72.83  75.75    2.11        2.87    597970
50    2018-08-15  75.75  75.99  74.13  74.13   -1.62       -2.14    322230
51    2018-08-16  72.99  73.80  71.78  72.91   -1.22       -1.65    519730
52    2018-08-17  73.56  73.97  72.51  72.59   -0.32       -0.44    356510
53    2018-08-20  73.32  73.32  72.35  72.83    0.24        0.33    256130
54    2018-08-21  73.56  74.37  72.91  73.16    0.33        0.45    292260
55    2018-08-22  73.56  74.78  73.32  74.53    1.37        1.87    361550
56    2018-08-23  75.18  75.26  73.89  73.89   -0.64       -0.86    269120
57    2018-08-24  73.89  74.53  73.40  73.40   -0.49       -0.66    466910
58    2018-08-27  73.40  74.37  73.32  73.89    0.49        0.67    317350
59    2018-08-28  74.53  74.53  73.72  74.05    0.16        0.22    315060
60    2018-08-29  74.53  75.51  73.72  73.72   -0.33       -0.45    760740
61    2018-08-30  74.53  78.58  74.13  78.58    4.86        6.59    743980
62    2018-08-31  77.45  78.75  76.80  76.96   -1.62       -2.06    749680
63    2018-09-04  76.96  78.02  76.15  76.15   -0.81       -1.05    822140
64    2018-09-05  75.91  76.64  75.02  75.34   -0.81       -1.06    541780
