==================================================
      VNSTOCK 4.x OPTIMIZED ANALYZER
      Danh sách: VCB
      Khung: 1W, Số lượng: 400
==================================================

==================================================
      PHÂN TÍCH MÃ: VCB  
      Khung thời gian: 1W
==================================================
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓
┃                                                                                 ┃
┃                                                                                 ┃
┃  🚀 VNSTOCK INSIDERS PROGRAM - NÂNG TẦM TRẢI NGHIỆM CỦA BẠN! 🚀                 ┃
┃                                                                                 ┃
┃  Nếu bạn cảm thấy khó chịu với các thông báo và quảng cáo:                      ┃
┃                                                                                 ┃
┃  ✨ Ẩn toàn bộ thông báo và quảng cáo phiền hà                                  ┃
┃  🔓 Mở rộng khả năng sử dụng API tối đa                                         ┃
┃  ⚡ Tăng tốc tải dữ liệu từ 5-8 lần                                              ┃
┃  📈 Tăng giới hạn truy cập API lên đến 5 lần                                    ┃
┃  🤖 Dùng AI Agent viết code hiệu quả với tài liệu Agent Guide                   ┃
┃                                                                                 ┃
┃  🔗 Tham gia ngay: https://vnstocks.com/insiders-program.                       ┃
┃                                                                                 ┃
┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛

--- [ LỊCH SỬ GIÁ VCB  ] ---
           time symbol  open  high   low  close  change  wick_up  body  wick_dn     volume
0    2018-11-11    VCB 22.96 23.22 22.32  22.62   -0.47     0.26 -0.34     0.30    3875970
1    2018-11-18    VCB 22.96 23.60 22.54  22.96    0.34     0.64  0.00     0.42    5997910
2    2018-11-25    VCB 22.96 23.98 22.62  23.56    0.60     0.42  0.60     0.34    7233400
3    2018-12-02    VCB 24.11 24.79 23.90  24.32    0.76     0.47  0.21     0.21    8702700
4    2018-12-09    VCB 24.32 24.83 23.90  24.02   -0.30     0.51 -0.30     0.12    5368870
5    2018-12-16    VCB 23.81 23.98 22.88  23.17   -0.85     0.17 -0.64     0.29    6946330
6    2018-12-23    VCB 23.17 23.34 21.68  22.75   -0.42     0.17 -0.42     1.07    4963860
7    2018-12-30    VCB 22.92 23.13 22.36  23.13    0.38     0.00  0.21     0.56    3460300
8    2019-01-06    VCB 23.51 23.85 23.17  23.47    0.34     0.34 -0.04     0.30    5541270
9    2019-01-13    VCB 23.47 23.94 23.30  23.30   -0.17     0.47 -0.17     0.00    3539680
10   2019-01-20    VCB 23.22 23.90 23.17  23.72    0.42     0.18  0.50     0.05    3256310
11   2019-01-27    VCB 23.81 24.40 23.47  24.02    0.30     0.38  0.21     0.34    4437560
12   2019-02-10    VCB 24.24 25.64 24.15  25.21    1.19     0.43  0.97     0.09    7810640
