==================================================
      VNSTOCK 3.x MULTI-STOCK DEMO               
      Danh sách: NAS100
      Khung: 1D, Số lượng: 10000
==================================================

==================================================
      PHÂN TÍCH MÃ: NAS100 (Nasdaq 100 Futures) 
      Khung thời gian: 1D
==================================================

--- [ LỊCH SỬ GIÁ NAS100  ] ---
            time  symbol      open      high       low     close    change  pct_change       volume
0     1999-06-30  NAS100  2,293.50  2,348.50  2,268.50  2,325.50      0.00        0.00     2,456.00
1     1999-07-01  NAS100  2,326.00  2,357.00  2,295.00  2,347.50     22.00        0.95     1,247.00
2     1999-07-06  NAS100  2,383.50  2,410.00  2,376.50  2,396.00     48.50        2.07     1,247.00
3     1999-07-07  NAS100  2,365.00  2,367.50  2,341.00  2,352.00    -44.00       -1.84     3,440.00
4     1999-07-08  NAS100  2,368.00  2,405.00  2,350.50  2,388.00     36.00        1.53     3,604.00
5     1999-07-09  NAS100  2,395.00  2,405.50  2,384.00  2,398.00     10.00        0.42     2,126.00
6     1999-07-12  NAS100  2,423.00  2,437.00  2,389.00  2,422.00     24.00        1.00     3,650.00
7     1999-07-13  NAS100  2,394.00  2,399.00  2,372.50  2,382.00    -40.00       -1.65     3,552.00
8     1999-07-14  NAS100  2,397.50  2,426.50  2,382.00  2,424.00     42.00        1.76     3,067.00
9     1999-07-15  NAS100  2,434.00  2,453.50  2,428.50  2,448.00     24.00        0.99     2,875.00
10    1999-07-16  NAS100  2,448.00  2,489.00  2,446.50  2,484.00     36.00        1.47     1,798.00
11    1999-07-19  NAS100  2,475.50  2,489.00  2,442.00  2,449.50    -34.50       -1.39     2,699.00
12    1999-07-20  NAS100  2,402.00  2,406.00  2,358.50  2,369.50    -80.00       -3.27     3,934.00
13    1999-07-21  NAS100  2,356.50  2,387.50  2,342.00  2,353.00    -16.50       -0.70     3,047.00
14    1999-07-22  NAS100  2,316.00  2,324.50  2,299.00  2,312.00    -41.00       -1.74     3,224.00
15    1999-07-23  NAS100  2,325.00  2,333.00  2,283.50  2,303.00     -9.00       -0.39     2,485.00
16    1999-07-26  NAS100  2,281.00  2,302.00  2,265.50  2,268.00    -35.00       -1.52     2,851.00
17    1999-07-27  NAS100  2,276.00  2,328.50  2,274.00  2,325.50     57.50        2.54     3,644.00
18    1999-07-28  NAS100  2,319.50  2,353.00  2,292.00  2,334.50      9.00        0.39     3,190.00
19    1999-07-29  NAS100  2,326.00  2,329.00  2,269.00  2,284.50    -50.00       -2.14     3,528.00
20    1999-07-30  NAS100  2,304.00  2,327.00  2,282.00  2,294.00      9.50        0.42     2,712.00
21    1999-08-02  NAS100  2,266.50  2,325.00  2,260.50  2,310.50     16.50        0.72     3,088.00
22    1999-08-03  NAS100  2,282.00  2,302.50  2,224.00  2,261.50    -49.00       -2.12     4,979.00
23    1999-08-04  NAS100  2,262.00  2,273.50  2,233.00  2,247.00    -14.50       -0.64     3,463.00
24    1999-08-05  NAS100  2,207.00  2,241.50  2,164.50  2,226.00    -21.00       -0.93     4,686.00
25    1999-08-06  NAS100  2,251.00  2,273.50  2,215.00  2,224.50     -1.50       -0.07     3,736.00
26    1999-08-09  NAS100  2,236.00  2,244.00  2,206.00  2,227.00      2.50        0.11     4,108.00
27    1999-08-10  NAS100  2,142.00  2,167.00  2,132.00  2,159.00    -68.00       -3.05     5,955.00
28    1999-08-11  NAS100  2,197.00  2,230.00  2,184.50  2,226.50     67.50        3.13     3,989.00
29    1999-08-12  NAS100  2,248.50  2,272.50  2,234.00  2,238.00     11.50        0.52     4,343.00
30    1999-08-13  NAS100  2,217.50  2,302.50  2,214.00  2,297.50     59.50        2.66     2,947.00
31    1999-08-16  NAS100  2,318.00  2,348.00  2,307.00  2,313.00     15.50        0.67     3,878.00
32    1999-08-17  NAS100  2,330.00  2,359.00  2,289.00  2,334.50     21.50        0.93     3,717.00
33    1999-08-18  NAS100  2,350.00  2,363.50  2,320.00  2,323.50    -11.00       -0.47     3,717.00
34    1999-08-19  NAS100  2,322.00  2,326.50  2,278.00  2,302.00    -21.50       -0.93     4,291.00
